Age,Smoking,Gender,SBP,Cholestrol,Risk
40-50,y,m,120,4,0
40-50,y,m,120,5,0
40-50,y,m,120,6,0
40-50,y,m,120,7,0
40-50,y,m,120,8,2
40-50,y,m,140,4,0
40-50,y,m,140,5,0
40-50,y,m,140,6,0
40-50,y,m,140,7,1
40-50,y,m,140,8,4
40-50,y,m,160,4,1
40-50,y,m,160,5,1
40-50,y,m,160,6,2
40-50,y,m,160,7,4
40-50,y,m,160,8,4
40-50,y,m,180,4,4
40-50,y,m,180,5,4
40-50,y,m,180,6,4
40-50,y,m,180,7,4
40-50,y,m,180,8,4
40-50,y,f,120,4,0
40-50,y,f,120,5,0
40-50,y,f,120,6,0
40-50,y,f,120,7,1
40-50,y,f,120,8,2
40-50,y,f,140,4,0
40-50,y,f,140,5,1
40-50,y,f,140,6,1
40-50,y,f,140,7,3
40-50,y,f,140,8,4
40-50,y,f,160,4,0
40-50,y,f,160,5,3
40-50,y,f,160,6,4
40-50,y,f,160,7,4
40-50,y,f,160,8,4
40-50,y,f,180,4,4
40-50,y,f,180,5,4
40-50,y,f,180,6,4
40-50,y,f,180,7,4
40-50,y,f,180,8,4
40-50,n,m,120,4,0
40-50,n,m,120,5,0
40-50,n,m,120,6,0
40-50,n,m,120,7,0
40-50,n,m,120,8,0
40-50,n,m,140,4,0
40-50,n,m,140,5,0
40-50,n,m,140,6,0
40-50,n,m,140,7,0
40-50,n,m,140,8,2
40-50,n,m,160,4,0
40-50,n,m,160,5,0
40-50,n,m,160,6,1
40-50,n,m,160,7,2
40-50,n,m,160,8,4
40-50,n,m,180,4,2
40-50,n,m,180,5,3
40-50,n,m,180,6,4
40-50,n,m,180,7,4
40-50,n,m,180,8,4
40-50,n,f,120,4,0
40-50,n,f,120,5,0
40-50,n,f,120,6,0
40-50,n,f,120,7,0
40-50,n,f,120,8,2
40-50,n,f,140,4,0
40-50,n,f,140,5,0
40-50,n,f,140,6,1
40-50,n,f,140,7,2
40-50,n,f,140,8,2
40-50,n,f,160,4,0
40-50,n,f,160,5,1
40-50,n,f,160,6,3
40-50,n,f,160,7,4
40-50,n,f,160,8,4
40-50,n,f,180,4,3
40-50,n,f,180,5,4
40-50,n,f,180,6,4
40-50,n,f,180,7,4
40-50,n,f,180,8,4
50-60,y,m,120,4,0
50-60,y,m,120,5,0
50-60,y,m,120,6,0
50-60,y,m,120,7,1
50-60,y,m,120,8,2
50-60,y,m,140,4,0
50-60,y,m,140,5,0
50-60,y,m,140,6,1
50-60,y,m,140,7,2
50-60,y,m,140,8,4
50-60,y,m,160,4,1
50-60,y,m,160,5,2
50-60,y,m,160,6,3
50-60,y,m,160,7,4
50-60,y,m,160,8,4
50-60,y,m,180,4,4
50-60,y,m,180,5,4
50-60,y,m,180,6,4
50-60,y,m,180,7,4
50-60,y,m,180,8,4
50-60,y,f,120,4,0
50-60,y,f,120,5,0
50-60,y,f,120,6,1
50-60,y,f,120,7,1
50-60,y,f,120,8,2
50-60,y,f,140,4,0
50-60,y,f,140,5,1
50-60,y,f,140,6,2
50-60,y,f,140,7,3
50-60,y,f,140,8,4
50-60,y,f,160,4,2
50-60,y,f,160,5,3
50-60,y,f,160,6,4
50-60,y,f,160,7,4
50-60,y,f,160,8,4
50-60,y,f,180,4,4
50-60,y,f,180,5,4
50-60,y,f,180,6,4
50-60,y,f,180,7,4
50-60,y,f,180,8,4
50-60,n,m,120,4,0
50-60,n,m,120,5,0
50-60,n,m,120,6,0
50-60,n,m,120,7,0
50-60,n,m,120,8,1
50-60,n,m,140,4,0
50-60,n,m,140,5,0
50-60,n,m,140,6,0
50-60,n,m,140,7,1
50-60,n,m,140,8,2
50-60,n,m,160,4,0
50-60,n,m,160,5,1
50-60,n,m,160,6,1
50-60,n,m,160,7,2
50-60,n,m,160,8,4
50-60,n,m,180,4,2
50-60,n,m,180,5,3
50-60,n,m,180,6,4
50-60,n,m,180,7,4
50-60,n,m,180,8,4
50-60,n,f,120,4,0
50-60,n,f,120,5,0
50-60,n,f,120,6,0
50-60,n,f,120,7,1
50-60,n,f,120,8,2
50-60,n,f,140,4,0
50-60,n,f,140,5,0
50-60,n,f,140,6,1
50-60,n,f,140,7,2
50-60,n,f,140,8,3
50-60,n,f,160,4,1
50-60,n,f,160,5,1
50-60,n,f,160,6,3
50-60,n,f,160,7,4
50-60,n,f,160,8,4
50-60,n,f,180,4,3
50-60,n,f,180,5,4
50-60,n,f,180,6,4
50-60,n,f,180,7,4
50-60,n,f,180,8,4
60-70,y,m,120,4,0
60-70,y,m,120,5,0
60-70,y,m,120,6,1
60-70,y,m,120,7,1
60-70,y,m,120,8,2
60-70,y,m,140,4,1
60-70,y,m,140,5,1
60-70,y,m,140,6,2
60-70,y,m,140,7,3
60-70,y,m,140,8,4
60-70,y,m,160,4,2
60-70,y,m,160,5,3
60-70,y,m,160,6,4
60-70,y,m,160,7,4
60-70,y,m,160,8,4
60-70,y,m,180,4,4
60-70,y,m,180,5,4
60-70,y,m,180,6,4
60-70,y,m,180,7,4
60-70,y,m,180,8,4
60-70,y,f,120,4,0
60-70,y,f,120,5,1
60-70,y,f,120,6,2
60-70,y,f,120,7,3
60-70,y,f,120,8,3
60-70,y,f,140,4,1
60-70,y,f,140,5,2
60-70,y,f,140,6,3
60-70,y,f,140,7,4
60-70,y,f,140,8,4
60-70,y,f,160,4,3
60-70,y,f,160,5,4
60-70,y,f,160,6,4
60-70,y,f,160,7,4
60-70,y,f,160,8,4
60-70,y,f,180,4,4
60-70,y,f,180,5,4
60-70,y,f,180,6,4
60-70,y,f,180,7,4
60-70,y,f,180,8,4
60-70,n,m,120,4,0
60-70,n,m,120,5,0
60-70,n,m,120,6,0
60-70,n,m,120,7,1
60-70,n,m,120,8,1
60-70,n,m,140,4,0
60-70,n,m,140,5,1
60-70,n,m,140,6,1
60-70,n,m,140,7,1
60-70,n,m,140,8,2
60-70,n,m,160,4,1
60-70,n,m,160,5,2
60-70,n,m,160,6,2
60-70,n,m,160,7,3
60-70,n,m,160,8,4
60-70,n,m,180,4,3
60-70,n,m,180,5,4
60-70,n,m,180,6,4
60-70,n,m,180,7,4
60-70,n,m,180,8,4
60-70,n,f,120,4,0
60-70,n,f,120,5,0
60-70,n,f,120,6,0
60-70,n,f,120,7,1
60-70,n,f,120,8,2
60-70,n,f,140,4,0
60-70,n,f,140,5,1
60-70,n,f,140,6,1
60-70,n,f,140,7,2
60-70,n,f,140,8,3
60-70,n,f,160,4,1
60-70,n,f,160,5,2
60-70,n,f,160,6,3
60-70,n,f,160,7,4
60-70,n,f,160,8,4
60-70,n,f,180,4,3
60-70,n,f,180,5,4
60-70,n,f,180,6,4
60-70,n,f,180,7,4
60-70,n,f,180,8,4
70-80,y,m,120,4,1
70-80,y,m,120,5,1
70-80,y,m,120,6,2
70-80,y,m,120,7,2
70-80,y,m,120,8,3
70-80,y,m,140,4,2
70-80,y,m,140,5,2
70-80,y,m,140,6,3
70-80,y,m,140,7,4
70-80,y,m,140,8,4
70-80,y,m,160,4,3
70-80,y,m,160,5,4
70-80,y,m,160,6,4
70-80,y,m,160,7,4
70-80,y,m,160,8,4
70-80,y,m,180,4,4
70-80,y,m,180,5,4
70-80,y,m,180,6,4
70-80,y,m,180,7,4
70-80,y,m,180,8,4
70-80,y,f,120,4,1
70-80,y,f,120,5,1
70-80,y,f,120,6,2
70-80,y,f,120,7,3
70-80,y,f,120,8,3
70-80,y,f,140,4,2
70-80,y,f,140,5,3
70-80,y,f,140,6,3
70-80,y,f,140,7,4
70-80,y,f,140,8,4
70-80,y,f,160,4,3
70-80,y,f,160,5,4
70-80,y,f,160,6,4
70-80,y,f,160,7,4
70-80,y,f,160,8,4
70-80,y,f,180,4,4
70-80,y,f,180,5,4
70-80,y,f,180,6,4
70-80,y,f,180,7,4
70-80,y,f,180,8,4
70-80,n,m,120,4,0
70-80,n,m,120,5,1
70-80,n,m,120,6,1
70-80,n,m,120,7,1
70-80,n,m,120,8,2
70-80,n,m,140,4,1
70-80,n,m,140,5,1
70-80,n,m,140,6,2
70-80,n,m,140,7,2
70-80,n,m,140,8,3
70-80,n,m,160,4,2
70-80,n,m,160,5,2
70-80,n,m,160,6,3
70-80,n,m,160,7,3
70-80,n,m,160,8,4
70-80,n,m,180,4,4
70-80,n,m,180,5,4
70-80,n,m,180,6,4
70-80,n,m,180,7,4
70-80,n,m,180,8,4
70-80,n,f,120,4,0
